snr fer ber ber_c frames fec bec
-1.000000 7.901400e-01 3.539262e+09 0.000000e+00 100000 79014 1132564
-0.750000 7.476400e-01 3.251012e+09 0.000000e+00 100000 74764 1040324
-0.500000 7.005500e-01 2.956781e+09 0.000000e+00 100000 70055 946170
-0.250000 6.490400e-01 2.665712e+09 0.000000e+00 100000 64904 853028
0.000000 5.896700e-01 2.353012e+09 0.000000e+00 100000 58967 752964
0.250000 5.321500e-01 2.066825e+09 0.000000e+00 100000 53215 661384
0.500000 4.705800e-01 1.774994e+09 0.000000e+00 100000 47058 567998
0.750000 4.088900e-01 1.503375e+09 0.000000e+00 100000 40889 481080
1.000000 3.490700e-01 1.245888e+09 0.000000e+00 100000 34907 398684
1.250000 2.905600e-01 1.010706e+09 0.000000e+00 100000 29056 323426
1.500000 2.374600e-01 8.046500e+08 0.000000e+00 100000 23746 257488
1.750000 1.910700e-01 6.322188e+08 0.000000e+00 100000 19107 202310
2.000000 1.475200e-01 4.773188e+08 0.000000e+00 100000 14752 152742
2.250000 1.107900e-01 3.508375e+08 0.000000e+00 100000 11079 112268
2.500000 8.408000e-02 2.578625e+08 0.000000e+00 100000 8408 82516
2.750000 5.941000e-02 1.803375e+08 0.000000e+00 100000 5941 57708
3.000000 4.189000e-02 1.232750e+08 0.000000e+00 100000 4189 39448
3.250000 2.828000e-02 8.218750e+07 0.000000e+00 100000 2828 26300
3.500000 1.898000e-02 5.400625e+07 0.000000e+00 100000 1898 17282
3.750000 1.240000e-02 3.466875e+07 0.000000e+00 100000 1240 11094
4.000000 7.380000e-03 2.061250e+07 0.000000e+00 100000 738 6596
4.250000 4.180000e-03 1.139375e+07 0.000000e+00 100000 418 3646
4.500000 2.360000e-03 6.325000e+06 0.000000e+00 100000 236 2024
4.750000 1.340000e-03 3.493750e+06 0.000000e+00 100000 134 1118
